
Epoch 0 --> 0/50, i= 700/1200, -4.00dB/90Hz, Tr_BER=0.518322, L_CE=0.410854, Now=13:56:53
Epoch 0 --> 0/50, i= 710/1200, -3.00dB/90Hz, Tr_BER=0.518334, L_CE=0.410379, Now=13:56:53
Epoch 0 --> 0/50, i= 720/1200, -3.00dB/90Hz, Tr_BER=0.518317, L_CE=0.409820, Now=13:56:54
Epoch 0 --> 0/50, i= 730/1200, -2.00dB/90Hz, Tr_BER=0.518290, L_CE=0.409361, Now=13:56:54
Epoch 0 --> 0/50, i= 740/1200, -4.00dB/90Hz, Tr_BER=0.518283, L_CE=0.408874, Now=13:56:55
Epoch 0 --> 0/50, i= 750/1200, -5.00dB/90Hz, Tr_BER=0.518313, L_CE=0.408491, Now=13:56:55
Epoch 0 --> 0/50, i= 760/1200, -4.00dB/90Hz, Tr_BER=0.518293, L_CE=0.408015, Now=13:56:56
Epoch 0 --> 0/50, i= 770/1200, -3.00dB/90Hz, Tr_BER=0.518290, L_CE=0.407589, Now=13:56:56
Epoch 0 --> 0/50, i= 780/1200, -4.00dB/90Hz, Tr_BER=0.518281, L_CE=0.407162, Now=13:56:57
Epoch 0 --> 0/50, i= 790/1200, -3.00dB/90Hz, Tr_BER=0.518272, L_CE=0.406785, Now=13:56:57
Epoch 0 --> 0/50, i= 800/1200, -4.00dB/90Hz, Tr_BER=0.518236, L_CE=0.406363, Now=13:56:58
Epoch 0 --> 0/50, i= 810/1200, -2.00dB/90Hz, Tr_BER=0.518211, L_CE=0.405924, Now=13:56:58
Epoch 0 --> 0/50, i= 820/1200, -4.00dB/90Hz, Tr_BER=0.518179, L_CE=0.405516, Now=13:56:58
Epoch 0 --> 0/50, i= 830/1200, -5.00dB/90Hz, Tr_BER=0.518155, L_CE=0.405193, Now=13:56:59
Epoch 0 --> 0/50, i= 840/1200, -4.00dB/90Hz, Tr_BER=0.518145, L_CE=0.404814, Now=13:56:59
Epoch 0 --> 0/50, i= 850/1200, -4.00dB/90Hz, Tr_BER=0.518156, L_CE=0.404479, Now=13:57:00
Epoch 0 --> 0/50, i= 860/1200, -5.00dB/90Hz, Tr_BER=0.518154, L_CE=0.404159, Now=13:57:00
Epoch 0 --> 0/50, i= 870/1200, -3.00dB/90Hz, Tr_BER=0.518136, L_CE=0.403825, Now=13:57:01
Epoch 0 --> 0/50, i= 880/1200, -4.00dB/90Hz, Tr_BER=0.518129, L_CE=0.403500, Now=13:57:01
Epoch 0 --> 0/50, i= 890/1200, -3.00dB/90Hz, Tr_BER=0.518107, L_CE=0.403147, Now=13:57:02
Epoch 0 --> 0/50, i= 900/1200, -4.00dB/90Hz, Tr_BER=0.518077, L_CE=0.402833, Now=13:57:02
Epoch 0 --> 0/50, i= 910/1200, -3.00dB/90Hz, Tr_BER=0.518065, L_CE=0.402512, Now=13:57:03
Epoch 0 --> 0/50, i= 920/1200, -4.00dB/90Hz, Tr_BER=0.518039, L_CE=0.402187, Now=13:57:03
Epoch 0 --> 0/50, i= 930/1200, -5.00dB/90Hz, Tr_BER=0.518033, L_CE=0.401914, Now=13:57:04
Epoch 0 --> 0/50, i= 940/1200, -3.00dB/90Hz, Tr_BER=0.518002, L_CE=0.401563, Now=13:57:04
Epoch 0 --> 0/50, i= 950/1200, -4.00dB/90Hz, Tr_BER=0.517964, L_CE=0.401213, Now=13:57:05
Epoch 0 --> 0/50, i= 960/1200, -4.00dB/90Hz, Tr_BER=0.517940, L_CE=0.400869, Now=13:57:05
Epoch 0 --> 0/50, i= 970/1200, -3.00dB/90Hz, Tr_BER=0.517898, L_CE=0.400587, Now=13:57:05
Epoch 0 --> 0/50, i= 980/1200, -4.00dB/90Hz, Tr_BER=0.517865, L_CE=0.400330, Now=13:57:06
Epoch 0 --> 0/50, i= 990/1200, -4.00dB/90Hz, Tr_BER=0.517834, L_CE=0.400065, Now=13:57:06
Epoch 0 --> 0/50, i=1000/1200, -3.00dB/90Hz, Tr_BER=0.517816, L_CE=0.399787, Now=13:57:07
Epoch 0 --> 0/50, i=1010/1200, -3.00dB/90Hz, Tr_BER=0.517815, L_CE=0.399524, Now=13:57:07
Epoch 0 --> 0/50, i=1020/1200, -4.00dB/90Hz, Tr_BER=0.517778, L_CE=0.399218, Now=13:57:08
Epoch 0 --> 0/50, i=1030/1200, -3.00dB/90Hz, Tr_BER=0.517730, L_CE=0.398882, Now=13:57:08
Epoch 0 --> 0/50, i=1040/1200, -3.00dB/90Hz, Tr_BER=0.517690, L_CE=0.398587, Now=13:57:09
Epoch 0 --> 0/50, i=1050/1200, -3.00dB/90Hz, Tr_BER=0.517647, L_CE=0.398268, Now=13:57:09
Epoch 0 --> 0/50, i=1060/1200, -3.00dB/90Hz, Tr_BER=0.517607, L_CE=0.397988, Now=13:57:10
Epoch 0 --> 0/50, i=1070/1200, -5.00dB/90Hz, Tr_BER=0.517580, L_CE=0.397694, Now=13:57:10
Epoch 0 --> 0/50, i=1080/1200, -4.00dB/90Hz, Tr_BER=0.517528, L_CE=0.397422, Now=13:57:11
Epoch 0 --> 0/50, i=1090/1200, -5.00dB/90Hz, Tr_BER=0.517506, L_CE=0.397204, Now=13:57:11
Epoch 0 --> 0/50, i=1100/1200, -3.00dB/90Hz, Tr_BER=0.517443, L_CE=0.396958, Now=13:57:11
Epoch 0 --> 0/50, i=1110/1200, -2.00dB/90Hz, Tr_BER=0.517410, L_CE=0.396709, Now=13:57:12
Epoch 0 --> 0/50, i=1120/1200, -4.00dB/90Hz, Tr_BER=0.517373, L_CE=0.396456, Now=13:57:12
Epoch 0 --> 0/50, i=1130/1200, -4.00dB/90Hz, Tr_BER=0.517335, L_CE=0.396218, Now=13:57:13
Epoch 0 --> 0/50, i=1140/1200, -4.00dB/90Hz, Tr_BER=0.517304, L_CE=0.395970, Now=13:57:13
Epoch 0 --> 0/50, i=1150/1200, -3.00dB/90Hz, Tr_BER=0.517271, L_CE=0.395724, Now=13:57:14
Epoch 0 --> 0/50, i=1160/1200, -3.00dB/90Hz, Tr_BER=0.517235, L_CE=0.395505, Now=13:57:14
Epoch 0 --> 0/50, i=1170/1200, -4.00dB/90Hz, Tr_BER=0.517201, L_CE=0.395287, Now=13:57:15
Epoch 0 --> 0/50, i=1180/1200, -4.00dB/90Hz, Tr_BER=0.517172, L_CE=0.395071, Now=13:57:15
Epoch 0 --> 0/50, i=1190/1200, -4.00dB/90Hz, Tr_BER=0.517131, L_CE=0.394857, Now=13:57:16
Epoch 0 --> 0/50, i=1200/1200, -4.00dB/90Hz, Tr_BER=0.517096, L_CE=0.394677, Now=13:57:16
Epoch 0 --> 1/50, i=  10/1200, -3.00dB/90Hz, Tr_BER=0.514967, L_CE=0.454355, Now=13:57:19
Epoch 0 --> 1/50, i=  20/1200, -4.00dB/90Hz, Tr_BER=0.518756, L_CE=0.432531, Now=13:57:19
Epoch 0 --> 1/50, i=  30/1200, -4.00dB/90Hz, Tr_BER=0.519330, L_CE=0.417244, Now=13:57:20
Epoch 0 --> 1/50, i=  40/1200, -4.00dB/90Hz, Tr_BER=0.518518, L_CE=0.407710, Now=13:57:20
Epoch 0 --> 1/50, i=  50/1200, -3.00dB/90Hz, Tr_BER=0.518253, L_CE=0.401596, Now=13:57:21
Epoch 0 --> 1/50, i=  60/1200, -4.00dB/90Hz, Tr_BER=0.518006, L_CE=0.397473, Now=13:57:21
Epoch 0 --> 1/50, i=  70/1200, -5.00dB/90Hz, Tr_BER=0.517864, L_CE=0.393900, Now=13:57:22
Epoch 0 --> 1/50, i=  80/1200, -5.00dB/90Hz, Tr_BER=0.517896, L_CE=0.391527, Now=13:57:22
Epoch 0 --> 1/50, i=  90/1200, -4.00dB/90Hz, Tr_BER=0.517575, L_CE=0.389331, Now=13:57:23
Epoch 0 --> 1/50, i= 100/1200, -4.00dB/90Hz, Tr_BER=0.517582, L_CE=0.387324, Now=13:57:23
Epoch 0 --> 1/50, i= 110/1200, -4.00dB/90Hz, Tr_BER=0.517595, L_CE=0.386107, Now=13:57:23
Epoch 0 --> 1/50, i= 120/1200, -3.00dB/90Hz, Tr_BER=0.517376, L_CE=0.384887, Now=13:57:24
Epoch 0 --> 1/50, i= 130/1200, -3.00dB/90Hz, Tr_BER=0.517214, L_CE=0.383222, Now=13:57:24
Epoch 0 --> 1/50, i= 140/1200, -4.00dB/90Hz, Tr_BER=0.516953, L_CE=0.381927, Now=13:57:25
Epoch 0 --> 1/50, i= 150/1200, -4.00dB/90Hz, Tr_BER=0.516889, L_CE=0.381007, Now=13:57:25
Epoch 0 --> 1/50, i= 160/1200, -3.00dB/90Hz, Tr_BER=0.516813, L_CE=0.380211, Now=13:57:26
Epoch 0 --> 1/50, i= 170/1200, -4.00dB/90Hz, Tr_BER=0.516622, L_CE=0.379363, Now=13:57:26
Epoch 0 --> 1/50, i= 180/1200, -5.00dB/90Hz, Tr_BER=0.516480, L_CE=0.378723, Now=13:57:27
Epoch 0 --> 1/50, i= 190/1200, -4.00dB/90Hz, Tr_BER=0.516339, L_CE=0.378131, Now=13:57:27
Epoch 0 --> 1/50, i= 200/1200, -4.00dB/90Hz, Tr_BER=0.516170, L_CE=0.377614, Now=13:57:28
Epoch 0 --> 1/50, i= 210/1200, -4.00dB/90Hz, Tr_BER=0.515996, L_CE=0.377078, Now=13:57:28
Epoch 0 --> 1/50, i= 220/1200, -3.00dB/90Hz, Tr_BER=0.515921, L_CE=0.376583, Now=13:57:28
Epoch 0 --> 1/50, i= 230/1200, -4.00dB/90Hz, Tr_BER=0.515827, L_CE=0.376274, Now=13:57:29
Epoch 0 --> 1/50, i= 240/1200, -4.00dB/90Hz, Tr_BER=0.515826, L_CE=0.376091, Now=13:57:29
Epoch 0 --> 1/50, i= 250/1200, -4.00dB/90Hz, Tr_BER=0.515738, L_CE=0.375871, Now=13:57:30
Epoch 0 --> 1/50, i= 260/1200, -3.00dB/90Hz, Tr_BER=0.515662, L_CE=0.375701, Now=13:57:30
Epoch 0 --> 1/50, i= 270/1200, -4.00dB/90Hz, Tr_BER=0.515610, L_CE=0.375517, Now=13:57:31
Epoch 0 --> 1/50, i= 280/1200, -4.00dB/90Hz, Tr_BER=0.515514, L_CE=0.375335, Now=13:57:31
Epoch 0 --> 1/50, i= 290/1200, -3.00dB/90Hz, Tr_BER=0.515416, L_CE=0.374885, Now=13:57:32
Epoch 0 --> 1/50, i= 300/1200, -3.00dB/90Hz, Tr_BER=0.515345, L_CE=0.374667, Now=13:57:32
Epoch 0 --> 1/50, i= 310/1200, -4.00dB/90Hz, Tr_BER=0.515269, L_CE=0.374437, Now=13:57:33
Epoch 0 --> 1/50, i= 320/1200, -4.00dB/90Hz, Tr_BER=0.515159, L_CE=0.374213, Now=13:57:33
Epoch 0 --> 1/50, i= 330/1200, -4.00dB/90Hz, Tr_BER=0.515081, L_CE=0.373924, Now=13:57:33
Epoch 0 --> 1/50, i= 340/1200, -3.00dB/90Hz, Tr_BER=0.515019, L_CE=0.373766, Now=13:57:34
Epoch 0 --> 1/50, i= 350/1200, -4.00dB/90Hz, Tr_BER=0.514946, L_CE=0.373572, Now=13:57:34
Epoch 0 --> 1/50, i= 360/1200, -5.00dB/90Hz, Tr_BER=0.514903, L_CE=0.373304, Now=13:57:35
Epoch 0 --> 1/50, i= 370/1200, -4.00dB/90Hz, Tr_BER=0.514872, L_CE=0.373136, Now=13:57:35
Epoch 0 --> 1/50, i= 380/1200, -4.00dB/90Hz, Tr_BER=0.514801, L_CE=0.373078, Now=13:57:36
Epoch 0 --> 1/50, i= 390/1200, -4.00dB/90Hz, Tr_BER=0.514750, L_CE=0.373059, Now=13:57:36
Epoch 0 --> 1/50, i= 400/1200, -4.00dB/90Hz, Tr_BER=0.514719, L_CE=0.372857, Now=13:57:37
Epoch 0 --> 1/50, i= 410/1200, -3.00dB/90Hz, Tr_BER=0.514661, L_CE=0.372727, Now=13:57:37
Epoch 0 --> 1/50, i= 420/1200, -4.00dB/90Hz, Tr_BER=0.514598, L_CE=0.372359, Now=13:57:37
Epoch 0 --> 1/50, i= 430/1200, -4.00dB/90Hz, Tr_BER=0.514567, L_CE=0.372180, Now=13:57:38
Epoch 0 --> 1/50, i= 440/1200, -4.00dB/90Hz, Tr_BER=0.514542, L_CE=0.371973, Now=13:57:38
Epoch 0 --> 1/50, i= 450/1200, -4.00dB/90Hz, Tr_BER=0.514497, L_CE=0.371936, Now=13:57:39
Epoch 0 --> 1/50, i= 460/1200, -4.00dB/90Hz, Tr_BER=0.514448, L_CE=0.371797, Now=13:57:39
Epoch 0 --> 1/50, i= 470/1200, -3.00dB/90Hz, Tr_BER=0.514395, L_CE=0.371688, Now=13:57:40
Epoch 0 --> 1/50, i= 480/1200, -4.00dB/90Hz, Tr_BER=0.514332, L_CE=0.371528, Now=13:57:40
